 -- Event     2 Run:     2 length:  5134 type:  1 (Data Event)  1660163116
Packet  1001  5126 -1 (sPHENIX Packet)  81 (IDDRS4V1)
 Samples 1024  enabled channnels:   0  1  2  3
   ch |       time          ch0          ch1          ch2          ch3
  464 |    234.115         -8.6         -7.9         -9.1           -9   
  465 |    234.619         -8.4         -8.5         -8.8         -8.8   
  466 |    235.124         -7.7         -7.9         -7.8         -7.3   
  467 |    235.628         -7.3         -7.8         -7.4         -7.5   
  468 |    236.133         -5.4         -7.6         -6.7           -7   
  469 |    236.637         -7.3           -7           -7         -7.7   
  470 |    237.142         -6.6         -6.1         -6.8           -7   
  471 |    237.647         -6.9         -6.9         -7.4         -7.5   
  472 |    238.151         -6.1         -6.1         -7.1         -6.6   
  473 |    238.656         -7.7         -8.4         -8.1         -7.7   
  474 |     239.16         -7.7         -7.8         -7.1         -7.1   
  475 |    239.665         -9.2           -9         -9.8         -8.8   
  476 |    240.169         -9.1         -7.8         -9.8         -8.6   
  477 |    240.674           -9         -9.6        -10.2         -9.6   
  478 |    241.178         -9.3         -9.6         -9.2         -8.9   
  479 |    241.683         -8.9         -9.9         -9.5         -9.5   
  480 |    242.188           -9         -9.9         -9.3         -9.7   
  481 |    242.692        -10.6         -9.7        -10.8         -9.7   
  482 |    243.197         -8.9         -7.8         -8.4           -8   
  483 |    243.701         -8.2         -8.9         -8.2         -8.3   
  484 |    244.206         -7.3         -8.4         -6.9         -7.4   
  485 |     244.71         -7.9         -8.8         -8.5         -8.5   
  486 |    245.215         -7.1         -7.5         -7.7         -7.4   
  487 |    245.719         -7.1         -6.7         -8.3         -7.4   
  488 |    246.224         -6.4         -6.4         -6.7         -6.8   
  489 |    246.729         -8.4         -7.8           -8         -7.5   
  490 |    247.233         -7.2         -7.8         -8.6         -7.2   
  491 |    247.738         -8.3         -7.8           -8         -7.2   
  492 |    248.242         -6.9         -7.6         -8.6         -8.6   
  493 |    248.747         -8.7         -8.8         -8.6         -8.7   
  494 |    249.251           -8           -9         -7.8         -8.3   
  495 |    249.756         -9.4         -9.2           -9         -9.7   
  496 |     250.26         -8.1         -7.9         -8.9           -8   
  497 |    250.765         -9.1         -8.1         -8.6         -8.5   
  498 |     251.27         -8.2           -8         -8.3         -7.7   
  499 |    251.774         -7.8         -8.8         -8.9         -8.7   
  500 |    252.279         -7.9         -7.5         -7.2         -7.4   
  501 |    252.783         -6.8         -7.1         -7.5         -7.1   
  502 |    253.288         -6.2         -6.2         -6.4         -7.3   
  503 |    253.792         -6.7         -7.4         -7.4         -7.7   
  504 |    254.297         -7.4         -7.6         -7.4         -7.1   
  505 |    254.801         -8.2         -9.3         -8.7         -8.1   
  506 |    255.306           -7         -7.3         -7.9           -8   
  507 |    255.811           -9           -9         -8.7         -8.9   
  508 |    256.315         -8.5           -9         -8.6         -7.9   
  509 |     256.82         -9.3         -8.6         -9.8         -9.9   
  510 |    257.324         -9.4           -9         -9.4         -8.9   
  511 |    257.829         -9.4         -9.3         -9.4        -10.2   
  512 |    258.333         -8.5         -8.9         -8.5         -8.5   
  513 |    258.838         -9.5         -9.7         -9.2         -9.2   
  514 |    259.342         -8.7         -8.8         -8.7         -8.8   
  515 |    259.847         -8.4         -8.3         -8.1         -8.8   
  516 |    260.352         -7.8         -7.8         -7.7         -7.5   
  517 |    260.856         -7.6         -8.9         -8.5         -7.9   
  518 |    261.361           -7         -8.1         -7.6         -6.7   
  519 |    261.865         -7.6         -7.9         -7.7         -8.5   
  520 |     262.37           -7         -6.7         -7.3         -6.3   
  521 |    262.874         -7.8         -7.7         -8.5         -7.9   
  522 |    263.379         -7.5         -7.6         -7.2         -7.6   
  523 |    263.883         -7.1         -9.1         -7.7         -7.5   
  524 |    264.388         -6.8           -9         -8.3         -8.4   
  525 |    264.893         -8.2         -8.5         -8.9         -8.6   
  526 |    265.397         -8.1           -9         -8.4         -9.9   
  527 |    265.902         -9.9           -9         -9.2          -10   
  528 |    266.406         -9.8         -8.2         -8.3         -8.7   
  529 |    266.911         -8.7         -9.6         -9.2         -8.4   
  530 |    267.415         -7.3         -7.2         -8.6         -7.4   
  531 |     267.92         -7.8         -7.5         -7.3           -7   
  532 |    268.424         -6.9         -6.6         -5.7         -6.4   
  533 |    268.929         -7.8         -6.8         -6.8         -7.8   
  534 |    269.434         -5.2         -6.5         -6.4         -5.8   
  535 |    269.938         -5.3           -7         -7.1         -6.5   
  536 |    270.443         -6.3         -6.4         -6.2         -6.6   
  537 |    270.947         -8.4         -8.2         -7.7         -7.8   
  538 |    271.452         -7.2           -8         -7.9         -7.3   
  539 |    271.956         -9.5         -8.9         -9.5         -8.6   
  540 |    272.461         -9.4         -8.9         -8.5         -8.4   
  541 |    272.966        -10.2        -10.3        -10.8        -10.2   
  542 |     273.47         -9.4         -9.8           -9          -10   
  543 |    273.975        -10.4          -10          -10         -9.9   
  544 |    274.479           -9         -9.3         -8.9         -9.5   
  545 |    274.984         -9.7        -10.6         -9.4          -10   
  546 |    275.488         -9.3         -9.4           -9         -8.1   
  547 |    275.993         -9.1         -9.1         -8.9         -8.8   
  548 |    276.497         -8.3         -8.3         -8.7           -8   
  549 |    277.002         -8.6         -7.5           -8         -7.7   
  550 |    277.507         -6.4         -7.9         -7.4         -7.6   
  551 |    278.011         -7.1           -8         -7.6         -7.3   
  552 |    278.516         -6.5           -7         -7.3         -7.3   
  553 |     279.02         -7.5         -8.1         -8.7         -7.9   
  554 |    279.525         -6.8         -7.7         -7.6         -7.5   
  555 |    280.029           -8         -7.8         -7.7         -8.1   
  556 |    280.534         -7.1         -8.1         -7.5         -8.2   
  557 |    281.038         -8.9         -8.7         -8.2           -8   
  558 |    281.543         -7.9         -7.8         -7.7         -8.6   
  559 |    282.048         -8.5         -9.4         -9.5         -8.8   
  560 |    282.552         -7.4         -8.1         -8.6         -8.1   
  561 |    283.057         -8.2         -8.7         -8.4         -8.3   
  562 |    283.561         -6.8         -7.4         -7.7         -6.7   
  563 |    284.066         -7.2         -7.3           -9         -7.5   
  564 |     284.57         -7.2         -6.6         -7.6         -7.9   
  565 |    285.075         -7.6         -7.6         -8.4           -9   
  566 |    285.579           -7         -7.7         -7.2           -7   
  567 |    286.084         -7.6         -7.6         -7.5         -7.7   
  568 |    286.589         -7.1         -7.3         -7.5         -7.4   
  569 |    287.093           -8           -8         -8.2         -8.6   
  570 |    287.598           -8         -7.9         -8.2         -8.3   
  571 |    288.102         -8.8         -8.8         -7.5         -8.8   
  572 |    288.607         -8.9         -8.5         -8.3         -8.4   
  573 |    289.111         -8.6         -8.6         -8.4        -10.1   
  574 |    289.616        -10.1         -9.3           -9         -8.7   
  575 |     290.12         -9.6         -9.8        -10.1         -9.4   
  576 |    290.625         -8.4         -8.8        -10.1         -8.4   
  577 |     291.13         -9.2         -9.3         -9.9         -9.1   
  578 |    291.634         -9.4         -8.6         -8.3           -9   
  579 |    292.139         -9.1         -9.1         -8.7         -8.7   
  580 |    292.643         -7.5         -7.7         -8.2         -8.5   
  581 |    293.148         -8.8         -8.4         -8.4         -7.4   
  582 |    293.652         -6.9         -7.6         -6.9         -7.6   
  583 |    294.157         -7.8         -7.9         -7.8         -7.7   
  584 |    294.661         -6.6           -7         -7.1           -7   
  585 |    295.166           -8         -7.7         -8.4         -8.2   
  586 |    295.671         -7.6         -7.5           -6         -7.7   
  587 |    296.175           -8         -8.5         -8.2         -8.2   
  588 |     296.68         -7.5         -8.2         -7.8         -7.6   
  589 |    297.184         -9.7         -8.6         -8.9         -8.8   
  590 |    297.689         -8.5         -8.5         -7.9         -8.6   
  591 |    298.193         -8.6         -9.4         -9.4         -8.7   
  592 |    298.698         -8.4           -8         -7.6         -9.4   
  593 |    299.203         -8.3         -8.3         -9.2         -8.9   
  594 |    299.707         -7.8         -7.8         -7.3         -7.7   
  595 |    300.212         -8.6           -8         -7.8         -7.4   
  596 |    300.716         -6.8         -5.8         -8.5         -6.8   
  597 |    301.221         -7.3         -7.2         -8.3         -7.2   
  598 |    301.725         -6.3         -6.1         -6.2         -7.7   
  599 |     302.23         -7.3         -7.3         -7.3         -7.6   
  600 |    302.734         -7.1           -7         -6.4         -6.2   
  601 |    303.239         -7.9         -8.1         -8.1         -7.2   
  602 |    303.744         -7.2         -7.2         -8.2         -8.3   
  603 |    304.248         -8.4         -8.8         -9.6         -9.9   
  604 |    304.753         -8.5         -8.7         -9.4         -8.8   
  605 |    305.257        -10.1         -9.9         -9.9         -9.4   
  606 |    305.762         -9.1         -9.5         -9.9         -8.6   
  607 |    306.266        -10.3        -10.1         -9.5         -9.5   
  608 |    306.771         -8.8           -8           -9           -9   
  609 |    307.275         -9.2         -9.1         -9.7           -9   
  610 |     307.78         -8.7         -9.9         -8.9         -8.2   
  611 |    308.285         -9.4         -9.3         -9.1         -8.3   
  612 |    308.789         -8.3         -7.7         -8.2         -8.1   
  613 |    309.294         -8.3         -8.6           -8         -8.1   
  614 |    309.798           -7         -6.8         -7.4         -6.9   
  615 |    310.303           -8         -7.9         -7.8         -6.9   
  616 |    310.807         -7.8         -6.9         -6.8           -7   
  617 |    311.312         -8.7         -7.3         -7.7         -8.6   
  618 |    311.816         -7.1         -8.5         -7.7         -7.4   
  619 |    312.321         -8.3         -8.2         -8.5         -8.7   
  620 |    312.826         -7.4         -7.8         -8.3         -7.8   
  621 |     313.33         -8.8         -7.9           -9         -8.6   
  622 |    313.835         -8.8         -7.7         -8.5         -8.1   
  623 |    314.339         -8.5         -8.8         -7.6         -7.5   
  624 |    314.844         -8.4         -8.8         -7.7         -7.8   
  625 |    315.348         -9.5        -10.1         -9.2         -9.1   
  626 |    315.853         -7.2           -7         -8.5           -7   
  627 |    316.357         -7.5           -7         -8.9         -8.4   
  628 |    316.862         -6.7         -6.8         -7.2         -6.3   
  629 |    317.367         -7.6           -8         -8.1           -8   
  630 |    317.871         -6.8           -6         -7.4         -7.6   
  631 |    318.376         -7.8         -7.7         -7.5         -7.4   
  632 |     318.88         -7.1         -6.8         -6.8         -7.2   
  633 |    319.385         -8.6         -7.8         -8.5         -8.1   
  634 |    319.889         -7.6         -7.8         -6.8         -8.2   
  635 |    320.394         -8.9         -9.2         -8.8         -8.3   
  636 |    320.898         -7.2         -8.2         -7.8         -8.5   
  637 |    321.403         -8.5         -9.7         -9.8         -9.2   
  638 |    321.908           -9         -8.6         -9.2         -8.7   
  639 |    322.412         -9.3         -9.2         -9.6           -9   
  640 |    322.917         -8.1           -8         -8.6         -9.2   
  641 |    323.421           -9        -10.3         -9.8         -9.5   
  642 |    323.926         -8.2         -8.2         -7.6         -7.8   
  643 |     324.43         -9.3         -8.7         -8.8         -7.7   
  644 |    324.935         -8.4         -8.3         -7.9         -7.6   
  645 |    325.439         -8.6         -9.1         -9.2         -7.5   
  646 |    325.944         -7.6         -7.7         -7.6         -6.6   
  647 |    326.449           -8         -8.4         -7.9         -7.9   
  648 |    326.953         -7.2         -6.6         -7.1         -7.7   
  649 |    327.458         -5.5         -8.2         -8.2         -8.5   
  650 |    327.962         -7.2         -7.4           -8         -7.6   
  651 |    328.467         -7.6         -8.8         -8.6         -8.5   
  652 |    328.971         -8.1         -8.2         -8.3         -8.2   
  653 |    329.476         -9.5           -9         -9.4         -9.2   
  654 |     329.98         -9.3           -8         -9.3         -9.4   
  655 |    330.485         -9.5         -9.4         -9.1         -9.4   
  656 |     330.99         -8.2         -8.8         -8.1         -8.4   
  657 |    331.494         -8.8         -8.7         -9.2         -8.3   
  658 |    331.999         -7.4         -7.6         -8.6         -7.5   
  659 |    332.503         -6.5         -7.5         -7.1         -7.1   
  660 |    333.008         -6.6         -5.9         -6.4         -6.5   
  661 |    333.512         -6.9         -6.7         -6.8           -7   
  662 |    334.017         -5.6         -5.8           -6         -5.1   
  663 |    334.521         -6.4         -6.9         -6.3         -5.7   
  664 |    335.026         -5.5         -6.1           -6         -5.9   
  665 |    335.531         -7.5         -7.4         -8.3         -8.2   
  666 |    336.035         -7.3         -7.8         -7.7         -8.1   
  667 |     336.54         -9.1         -9.4           -9         -9.2   
  668 |    337.044         -9.3         -8.5         -8.9         -8.7   
  669 |    337.549         -9.9        -11.2        -10.7        -10.5   
  670 |    338.053        -10.6          -10          -10         -6.3   
  671 |    338.558        -10.6        -11.7        -10.4        -10.4   
  672 |    339.062         -9.9        -10.6        -10.6        -10.8   
  673 |    339.567        -10.2        -10.8        -11.3        -10.6   
  674 |    340.072         -9.4         -8.6         -8.9         -7.8   
  675 |    340.576         -9.1          -10         -8.7         -8.5   
  676 |    341.081         -8.2         -7.7         -8.1         -7.8   
  677 |    341.585         -8.5         -8.7         -8.8         -8.2   
  678 |     342.09         -7.5           -7         -7.2           -8   
  679 |    342.594           -8         -7.1         -7.7         -7.7   
  680 |    343.099         -7.3         -6.5         -6.2           -6   
  681 |    343.604         -6.5         -8.7           -8         -8.2   
  682 |    344.108         -7.4           -8         -7.5         -7.1   
  683 |    344.613         -7.9           -8         -8.5         -7.7   
  684 |    345.117         -7.4         -7.7         -7.2         -7.4   
  685 |    345.622         -8.9         -8.3         -8.4         -9.8   
  686 |    346.126         -7.2         -7.5         -8.7           -8   
  687 |    346.631         -9.4         -9.5          -10           -9   
  688 |    347.135         -8.3         -8.2           -8         -7.7   
  689 |     347.64         -8.5         -8.9         -8.4         -8.2   
  690 |    348.145         -8.5         -7.3         -6.9         -7.8   
  691 |    348.649         -8.3         -7.9         -7.1         -7.1   
  692 |    349.154         -6.7         -7.7           -7         -7.3   
  693 |    349.658         -6.5         -6.4         -6.6         -7.6   
  694 |    350.163         -7.3           -6         -7.9         -7.4   
  695 |    350.667         -7.7         -7.5         -8.5         -6.7   
  696 |    351.172         -7.1         -7.1         -7.4         -6.9   
  697 |    351.676         -7.4         -7.8         -7.3         -7.7   
  698 |    352.181         -7.3         -7.1         -7.8         -8.6   
  699 |    352.686         -7.8         -7.8         -8.3         -9.1   
  700 |     353.19         -8.7         -9.2         -8.6         -8.3   
  701 |    353.695        -10.1        -10.6         -8.8         -9.3   
  702 |    354.199         -8.9         -9.1         -9.6         -9.2   
  703 |    354.704         -9.5         -9.7        -10.1         -9.2   
  704 |    355.208         -7.4         -9.1         -7.2         -8.6   
  705 |    355.713         -8.6         -9.9           -9         -8.8   
  706 |    356.217         -8.6         -8.5         -8.4         -7.9   
  707 |    356.722         -9.8         -8.8         -9.3         -8.5   
  708 |    357.227         -8.4         -7.9         -8.8           -8   
  709 |    357.731         -8.5         -8.8         -8.7         -8.4   
  710 |    358.236         -7.5         -7.6         -7.8         -7.5   
  711 |     358.74         -9.1         -7.8         -8.6         -8.6   
  712 |    359.245           -7           -7         -8.1         -7.1   
  713 |    359.749         -8.3         -8.5         -7.6         -8.3   
  714 |    360.254         -6.7         -7.9           -7         -7.1   
  715 |    360.758         -8.4         -7.1         -8.7           -8   
  716 |    361.263         -8.5         -7.4         -8.9         -7.1   
  717 |    361.768         -9.7        -10.1         -8.8           -9   
  718 |    362.272         -9.7         -8.5         -8.5         -8.8   
  719 |    362.777         -8.4         -9.6         -8.7         -9.2   
  720 |    363.281         -7.9         -9.6         -8.4         -8.1   
  721 |    363.786         -9.5         -9.3         -9.4         -9.3   
  722 |     364.29         -7.4         -6.9         -7.9         -8.1   
  723 |    364.795           -8         -7.4         -6.8         -8.3   
  724 |    365.299         -7.1         -5.8         -6.6         -6.8   
  725 |    365.804         -7.1         -7.4         -6.7         -8.3   
  726 |    366.309         -6.5         -6.8         -6.1         -5.8   
  727 |    366.813         -6.5         -7.4         -7.2         -7.8   
  728 |    367.318         -6.4         -6.1         -6.9         -6.9   
  729 |    367.822         -8.2         -7.9         -7.8         -8.6   
  730 |    368.327         -7.7         -7.6           -8         -6.8   
  731 |    368.831         -9.3         -8.3         -8.8         -8.7   
  732 |    369.336         -8.6         -8.7         -9.1         -9.8   
  733 |    369.841        -10.3        -10.1        -10.2        -10.9   
  734 |    370.345        -10.1         -9.5         -9.6         -9.9   
  735 |     370.85         -9.8         -9.6         -9.5        -10.3   
  736 |    371.354         -9.5         -9.4         -9.7         -8.8   
  737 |    371.859         -9.8        -11.3        -10.1        -10.2   
  738 |    372.363         -8.8         -8.5         -8.6         -8.6   
  739 |    372.868         -8.9         -9.1         -8.6         -9.3   
  740 |    373.372         -6.9         -8.3         -8.2         -7.8   
  741 |    373.877         -8.2           -9         -9.1         -8.7   
  742 |    374.382         -7.1         -6.8         -7.1         -6.8   
  743 |    374.886         -8.7         -6.9         -8.1         -7.6   
  744 |    375.391         -7.3         -7.4           -7         -7.2   
  745 |    375.895         -7.2         -9.3         -8.7         -8.8   
  746 |      376.4         -6.9         -7.1         -7.3         -8.2   
  747 |    376.904         -8.4         -8.6         -9.1         -9.1   
  748 |    377.409         -7.3         -7.5         -7.8         -7.8   
  749 |    377.913         -9.4         -9.3         -8.7         -8.6   
  750 |    378.418         -8.2         -8.9         -8.1         -8.2   
  751 |    378.923         -8.4         -9.6           -9         -9.1   
  752 |    379.427         -7.4         -7.1         -8.1           -8   
  753 |    379.932         -8.8         -8.4         -8.5         -8.4   
  754 |    380.436         -8.3         -7.6         -7.5         -6.4   
  755 |    380.941         -7.7         -8.8         -8.9         -8.1   
  756 |    381.445         -7.3         -7.4         -7.5         -6.6   
  757 |     381.95         -7.5         -9.3           -8         -7.7   
  758 |    382.454         -6.3         -6.8         -6.7           -6   
  759 |    382.959           -7         -7.2         -7.1         -7.4   
  760 |    383.464         -7.2           -7         -7.4         -7.6   
  761 |    383.968         -8.5         -8.5         -9.3         -8.5   
  762 |    384.473         -7.1         -8.1         -8.2         -8.1   
  763 |    384.977         -8.2           -9         -8.7         -8.7   
  764 |    385.482         -8.2         -9.1         -8.7         -9.5   
  765 |    385.986        -10.1         -9.5        -10.3         -9.4   
  766 |    386.491         -8.9           -9         -8.1         -8.4   
  767 |    386.995         -9.4         -9.1           -9         -9.4   
  768 |      387.5         -7.9         -8.9         -8.9         -8.8   
  769 |    388.005         -8.9        -10.3         -9.6         -9.2   
  770 |    388.509         -8.7         -8.2         -8.4         -8.2   
  771 |    389.014         -8.9         -9.1         -7.8         -8.4   
  772 |    389.518         -7.8         -8.4         -7.8         -8.1   
  773 |    390.023         -7.6         -8.1           -9         -7.8   
  774 |    390.527         -6.5         -7.5           -7         -7.3   
  775 |    391.032         -7.5           -8         -6.7         -7.9   
  776 |    391.536         -7.5         -7.3         -7.8         -7.4   
  777 |    392.041         -8.8         -8.7         -8.4         -7.7   
  778 |    392.546         -7.7         -7.4         -7.5         -7.6   
  779 |     393.05         -8.6           -8         -9.4         -8.4   
  780 |    393.555         -8.4         -7.9         -8.1         -8.4   
  781 |    394.059         -9.1         -9.8           -9          -10   
  782 |    394.564         -8.8         -9.4         -8.1         -8.8   
  783 |    395.068        -10.6         -9.6         -8.8         -9.1   
  784 |    395.573         -9.2         -8.8         -8.5         -9.7   
  785 |    396.077         -8.8          -10           -9         -9.6   
  786 |    396.582         -7.5         -7.9         -7.8         -7.7   
  787 |    397.087         -8.6         -7.3         -7.1         -7.3   
  788 |    397.591         -6.5         -5.5         -6.3         -7.1   
  789 |    398.096         -6.1         -6.4         -6.6         -6.6   
  790 |      398.6         -5.3           -5         -6.6           -5   
  791 |    399.105         -6.1         -6.7         -6.8         -6.9   
  792 |    399.609           -6           -6         -7.1         -6.7   
  793 |    400.114         -7.1         -7.9         -8.8         -7.5   
  794 |    400.618         -7.7           -8         -9.2         -8.7   
  795 |    401.123         -9.8         -9.5           -9         -9.8   
  796 |    401.628         -9.1         -9.3         -8.7        -10.1   
  797 |    402.132         -9.4        -10.3        -10.6         -9.8   
  798 |    402.637         -9.7         -9.1         -9.4        -10.1   
  799 |    403.141        -10.5          -10         -9.1         -9.8   
  800 |    403.646        -10.6        -10.4         -9.6        -10.3   
  801 |     404.15        -10.4        -10.5          -10        -10.2   
  802 |    404.655         -9.1         -9.5         -8.8         -8.8   
  803 |     405.16         -8.7         -8.9         -8.6           -8   
  804 |    405.664         -8.5         -7.6         -7.8         -7.3   
  805 |    406.169         -8.6         -9.2         -8.9         -8.7   
  806 |    406.673         -7.4           -7         -7.4           -7   
  807 |    407.178         -8.5         -6.4           -8           -8   
  808 |    407.682         -7.6         -7.1         -6.9         -7.8   
  809 |    408.187         -7.5         -8.5         -8.2         -7.6   
  810 |    408.691         -7.9         -7.8         -7.8         -7.6   
  811 |    409.196           -8         -9.4         -8.6         -8.7   
  812 |    409.701         -7.6         -7.8         -8.1           -7   
  813 |    410.205         -8.5         -8.8           -9         -8.3   
  814 |     410.71         -8.5           -9         -8.3         -5.2   
  815 |    411.214           -9         -8.9         -8.2         -8.6   
  816 |    411.719         -7.4         -8.1         -8.5         -7.9   
  817 |    412.223           -8         -9.3         -8.5         -8.9   
  818 |    412.728         -7.9           -8         -7.8         -7.5   
  819 |    413.232         -7.8         -7.2         -8.2         -6.8   
  820 |    413.737         -7.5         -7.8         -7.5         -7.9   
  821 |    414.242         -7.7         -7.4         -7.7         -7.7   
  822 |    414.746         -6.6         -6.6         -6.9         -7.2   
  823 |    415.251         -7.4         -7.5         -8.1         -8.1   
  824 |    415.755         -6.6         -7.1         -7.5         -6.8   
  825 |     416.26         -7.6         -8.2         -8.5         -8.6   
  826 |    416.764         -7.5           -9         -7.6         -8.4   
  827 |    417.269         -9.8         -9.3         -9.4          -10   
  828 |    417.773         -7.9         -7.8         -8.8         -8.9   
  829 |    418.278        -10.7         -9.7         -9.6         -9.8   
  830 |    418.783         -9.8         -9.8         -9.4         -9.2   
  831 |    419.287        -10.4         -9.8        -10.1         -9.5   
  832 |    419.792         -8.9         -8.4         -7.7         -9.1   
  833 |    420.296         -9.4         -8.9         -9.5           -9   
  834 |    420.801         -9.8         -7.6         -8.6         -7.8   
  835 |    421.305           -9         -9.6         -8.6         -8.9   
  836 |     421.81         -7.4         -8.5         -8.6         -8.4   
  837 |    422.314         -7.8         -8.6         -8.7         -8.7   
  838 |    422.819           -8         -7.2         -6.7         -7.4   
  839 |    423.324         -8.7           -9         -7.9         -8.3   
  840 |    423.828         -6.7         -7.4         -8.1         -7.7   
  841 |    424.333         -7.6         -7.7         -7.9         -8.5   
  842 |    424.837         -7.7         -8.1         -7.5         -8.5   
  843 |    425.342         -8.5         -9.1         -8.7         -8.3   
  844 |    425.846         -7.9         -8.3         -8.4         -7.6   
  845 |    426.351         -9.2         -9.4           -9         -9.5   
  846 |    426.855         -8.9         -9.1         -8.9           -9   
  847 |     427.36         -9.7         -9.3         -8.9         -9.6   
  848 |    427.865         -8.8         -7.8         -8.1         -8.4   
  849 |    428.369         -8.9         -8.7         -9.1         -7.9   
  850 |    428.874           -8         -7.6         -8.1         -8.2   
  851 |    429.378         -7.6         -7.9         -6.7         -7.5   
  852 |    429.883         -6.3         -7.2         -6.8         -6.3   
  853 |    430.387         -7.4         -6.8           -7         -6.9   
  854 |    430.892         -6.8         -6.3         -7.2         -6.9   
  855 |    431.397         -7.3         -7.6         -8.4           -7   
  856 |    431.901           -7         -6.9         -6.2           -7   
  857 |    432.406         -8.2         -8.2         -7.8         -9.7   
  858 |     432.91         -7.2         -7.8         -8.1           -9   
  859 |    433.415         -9.1         -9.5         -9.1         -9.6   
  860 |    433.919         -8.7         -9.6         -8.5         -8.9   
  861 |    434.424        -10.2         -9.1         -9.7        -10.2   
  862 |    434.928         -9.2         -8.9         -8.7         -9.6   
  863 |    435.433          -10        -10.6         -9.2         -9.2   
  864 |    435.938         -9.1           -9         -8.8         -9.2   
  865 |    436.442         -9.7        -10.2        -10.8         -9.2   
  866 |    436.947         -8.2         -8.1         -8.7         -7.5   
  867 |    437.451         -8.9         -8.7         -9.1         -8.6   
  868 |    437.956           -8         -8.3         -7.4         -7.5   
  869 |     438.46         -9.4         -8.8         -8.2         -8.2   
  870 |    438.965         -8.3         -7.1         -7.8         -7.9   
  871 |    439.469         -8.1         -8.2         -8.7         -9.3   
  872 |    439.974         -7.4         -5.9         -6.7         -7.5   
  873 |    440.479         -8.1         -8.2         -7.8         -8.4   
  874 |    440.983         -7.7         -8.2         -7.4         -7.7   
  875 |    441.488         -8.6         -9.2         -8.2         -8.7   
  876 |    441.992         -8.4           -8         -8.3         -8.7   
  877 |    442.497         -9.7         -9.2           -9         -9.6   
  878 |    443.001         -8.3         -8.7         -7.7         -8.6   
  879 |    443.506         -8.5         -9.4           -9         -8.6   
  880 |     444.01         -8.6         -8.2         -8.9         -7.5   
  881 |    444.515           -9           -9         -9.1         -8.8   
  882 |     445.02         -8.4         -8.3         -7.1         -6.8   
  883 |    445.524         -8.4         -7.4         -8.1         -7.2   
  884 |    446.029         -7.2         -6.9         -7.8         -6.6   
  885 |    446.533         -7.9         -6.8         -7.6         -6.9   
  886 |    447.038         -7.7         -7.3         -8.2         -6.6   
  887 |    447.542         -8.1         -7.1         -8.2         -7.7   
  888 |    448.047         -7.4         -6.9         -7.2         -7.7   
  889 |    448.551         -8.3         -9.3         -8.4         -8.4   
  890 |    449.056         -6.7         -8.1         -7.8         -7.2   
  891 |    449.561         -7.8         -8.6         -9.7         -8.3   
  892 |    450.065         -9.1         -8.9         -9.5         -9.2   
  893 |     450.57         -9.8         -8.7         -9.2         -9.5   
  894 |    451.074         -8.7         -8.8           -9         -8.4   
  895 |    451.579         -9.8        -10.5         -9.4         -9.6   
  896 |    452.083         -8.3           -9         -8.6         -8.4   
  897 |    452.588         -8.9         -9.3         -9.1         -9.1   
  898 |    453.092         -8.5         -8.2         -8.7           -8   
  899 |    453.597         -8.7         -7.9           -8         -7.9   
  900 |    454.102         -8.2         -7.4         -8.2         -7.9   
  901 |    454.606         -9.4         -8.8         -8.5         -8.9   
  902 |    455.111         -7.6         -7.8         -7.2         -7.8   
  903 |    455.615         -7.5         -7.1         -7.3         -7.2   
  904 |     456.12         -7.6         -7.5         -7.8         -7.7   
  905 |    456.624         -9.6         -9.5         -9.9         -9.5   
  906 |    457.129         -9.8         -9.2           -9         -9.3   
  907 |    457.633        -10.5         -9.7        -10.3        -10.3   
  908 |    458.138         -9.1         -9.6           -9         -9.4   
  909 |    458.643        -10.1        -10.8        -10.1        -10.9   
  910 |    459.147        -10.7         -9.7         -9.9         -9.8   
  911 |    459.652         -9.5         -9.6         -9.1         -8.7   
  912 |    460.156         -8.9         -8.4         -8.7         -7.6   
  913 |    460.661         -8.9         -9.1         -8.8         -7.3   
  914 |    461.165           -8         -8.1         -7.7         -7.8   
  915 |     461.67         -7.3         -6.6         -6.8         -7.1   
  916 |    462.174         -5.8         -5.9         -6.5         -5.8   
  917 |    462.679         -5.9         -6.3         -6.5         -6.2   
  918 |    463.184         -5.4         -5.8         -5.8         -5.4   
  919 |    463.688           -6           -6         -6.3           -6   
  920 |    464.193         -5.2         -4.8         -6.3         -6.1   
  921 |    464.697           -7         -7.6         -6.7         -6.8   
  922 |    465.202         -7.5         -7.9         -7.2         -8.5   
  923 |    465.706         -8.8           -9         -9.1         -7.9   
  924 |    466.211         -9.9        -10.1         -8.8          -10   
  925 |    466.716         -9.9          -10        -10.1        -10.2   
  926 |     467.22          -10        -10.3        -10.2        -10.8   
  927 |    467.725          -11         -9.8        -10.9         -9.9   
  928 |    468.229         -9.7        -10.6        -10.2        -10.6   
  929 |    468.734         -9.9        -10.2        -10.3         -9.7   
  930 |    469.238         -9.9         -9.1           -8         -9.4   
  931 |    469.743        -10.1         -9.4         -9.3         -9.5   
  932 |    470.247         -7.7         -9.5         -8.1         -8.3   
  933 |    470.752         -8.3         -8.4         -7.5         -7.5   
  934 |    471.257         -7.7         -6.5         -7.4         -8.5   
  935 |    471.761         -8.7           -8           -8         -7.8   
  936 |    472.266         -7.9         -7.1         -7.4         -7.4   
  937 |     472.77         -6.3         -7.9         -6.9         -7.1   
  938 |    473.275         -6.8         -7.4         -7.8         -7.4   
